inner_tuples,inner_selectivity,inner_val_max,outer_tuples,outer_selectivity,outer_val_max,groups,hh_groups,hh_probability,threads,repeat,nanoseconds
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,1,1,1132840292
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,1,2,1128961402
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,1,3,1134660326
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,1,4,1128326995
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,1,5,1128579249
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,2,1,580559745
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,2,2,576330107
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,2,3,575930506
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,2,4,576675968
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,2,5,576471468
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,4,1,294452570
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,4,2,298975153
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,4,3,293150019
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,4,4,295728866
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,4,5,295782829
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,8,1,222440600
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,8,2,225945883
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,8,3,214300340
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,8,4,209722477
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,8,5,176992229
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,16,1,152087939
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,16,2,156510763
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,16,3,145453161
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,16,4,133690214
100,1.000000,99999,100000000,1.000000,99999,100,0,0.000000,16,5,135629475
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,1,1,54168828437
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,1,2,54178029042
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,1,3,54196840523
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,1,4,54201789427
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,1,5,54214979083
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,2,1,42254528701
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,2,2,42288194648
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,2,3,42275523982
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,2,4,42232144628
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,2,5,42232837322
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,4,1,22400764878
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,4,2,22399107699
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,4,3,22387080536
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,4,4,22478576670
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,4,5,22363985850
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,8,1,12384092621
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,8,2,12365457850
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,8,3,12370927492
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,8,4,12450696313
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,8,5,12363035854
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,16,1,9168717931
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,16,2,9166080415
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,16,3,9350430541
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,16,4,9157987217
100,1.000000,99999,1000000000,1.000000,99999,10000,0,0.000000,16,5,9160651620
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,1,1,74027853999
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,1,2,72877827862
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,1,3,72904132974
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,1,4,72827280590
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,1,5,72884758530
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,2,1,39156503613
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,2,2,39155784883
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,2,3,39117444143
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,2,4,39178341026
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,2,5,39112922073
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,4,1,20086683386
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,4,2,20066714598
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,4,3,20103655747
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,4,4,20135995074
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,4,5,20138845457
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,8,1,10923066982
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,8,2,10847030473
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,8,3,10927954609
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,8,4,10914632525
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,8,5,10891321645
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,16,1,9021743784
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,16,2,8988332141
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,16,3,8999085452
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,16,4,9053654377
100,1.000000,99999,1000000000,1.000000,99999,1000000,0,0.000000,16,5,9004555100
100,1.000000,99999,1000000000,1.000000,99999,100000000,0,0.000000,1,1,83205034344
100,1.000000,99999,1000000000,1.000000,99999,100000000,0,0.000000,1,2,83185025615
100,1.000000,99999,1000000000,1.000000,99999,100000000,0,0.000000,1,3,83301039299
100,1.000000,99999,1000000000,1.000000,99999,100000000,0,0.000000,1,4,83245137217
